Chla,TP
2.213783299,2.245512668
1.932980822,2.341434525
1.767155866,1.491361694
1.687528961,2.152899596
1.371067862,1.792391689
1.715167358,1.924279286
1.568201724,1.851258349
1.670245853,1.838849091
1.397940009,2.173186268
1.865103975,2.197280558
1.195899652,1.685741739
0.949390007,1.740362689
0.982271233,1.681241237
1.260071388,1.491361694
0.799340549,1.62324929
1.278753601,1.770852012
1.278753601,1.537819095
0.86923172,1.462397998
1.59439255,2.133538908
1.276461804,1.672097858
0.995635195,1.531478917
1.602059991,1.84509804
1.250420002,1.86923172
1.761175813,1.77815125
1.181843588,1.556302501
2.045322979,2.330413773
1.307496038,2.100370545
1.064457989,1.462397998
1.086359831,1.462397998
0.973127854,1.342422681
1.271841607,1.748188027
0.785329835,1.113943352
1.350248018,1.792391689
1.152288344,1.62838893
1.181843588,1.653212514
1.767155866,1.77815125
1.488550717,1.703291378
0.977723605,1.342422681
2.207365037,2.086359831
1.696356389,2.374748346
1.294466226,1.939519253
0.556302501,1.361727836
0.698970004,1.176091259
1.139879086,1.64738297
1.184691431,1.681241237
0.986771734,1.491361694
0.792391689,1.322219295
2.012837225,2.247973266
0.579783597,1.414973348
1.69019608,1.919078092
1.292256071,1.62324929
1.720985744,2.033423755
1.7355989,1.968482949
0.556302501,1.230448921
0.857332496,1.414973348
1.198657087,1.544068044
1.037426498,1.707570176
0.977723605,1.544068044
1.591064607,2.158362492
1.472756449,1.812913357
1.463892989,1.781755375
1.445604203,1.672097858
1.505149978,1.86332286
0.447158031,1.113943352
0.84509804,1.322219295
0.322219295,1.041392685
1.829303773,2.095169351
1.392696953,1.491361694
0.806179974,1.51851394
1.330413773,1.568201724
0.505149978,1.352182518
1.064457989,1.491361694
1.525044807,1.612783857
0.591064607,1.414973348
1.187520721,1.397940009
0.792391689,1.380211242
1.527629901,1.544068044
0.770852012,1.301029996
1.553883027,2.025305865
1.447158031,1.62324929
1.491361694,1.638489257
2.149834697,2.329397879
1.08278537,1.681241237
1.123851641,1.414973348
0.69019608,1.45484486
0.832508913,1.301029996
1.873320602,2.396199347
2.096214585,2.123851641
0.792391689,1.204119983
1.320146286,1.959041392
1.176091259,1.414973348
0.73239376,1.361727836
1.739572344,1.788875116
0.977723605,1.146128036
1.152288344,1.672097858
1.859138297,1.740362689
1.190331698,1.361727836
0.73239376,1.146128036
1.689308859,2.013679697
1.130333768,1.505149978
1.187520721,1.643452676
1.238046103,1.511883361
0.819543936,1.301029996
0.913813852,1.537819095
0.342422681,1
1.356025857,1.653212514
0.380211242,1.230448921
1.477121255,1.72427587
1.371067862,1.612783857
0.770852012,1.173186268
0.633468456,1.342422681
1.365487985,1.491361694
1.230448921,1.361727836
1.482873584,1.806179974
1.536558443,1.602059991
1.305351369,1.505149978
1.294466226,1.556302501
1.017033339,1.591064607
0.431363764,1.146128036
0.662757832,0.903089987
1.29666519,1.681241237
1.053078443,1.255272505
0.995635195,1.397940009
0.612783857,0.903089987
1.037426498,1.431363764
1.217483944,1.579783597
1.392696953,1.62838893
2.137670537,2.198657087
1.178976947,1.447158031
